indicator_id,hypothesis_id,baseline_inclusion,name,role,expected_direction,normalization,comparison_group,period,source_id,status,notes
CONV-MARITACA-ADOPTION,H-CONV-MARITACA-001,false,"Adoção e captura local de valor por modelos brasileiros","output","higher_supports","clientes, uso recorrente, integrações, receita, exportação e propriedade local","produtores de modelos locais em mercados linguísticos comparáveis","2023-2026",,"proposed","Não inferir escala econômica apenas de downloads, anúncios ou demonstrações."
CONV-MARITACA-JUSBRASIL,H-CONV-MARITACA-001,false,"Conversão de modelo local em aplicação jurídica de escala","mechanism","presence_supports","escopo técnico da parceria, proveniência do modelo, avaliação jurídica, uso, produtividade, receita e dependências externas","modelos jurídicos generalistas e especializados comparáveis","2024-2026","jusbrasil-maritaca-partnership","proposed","Indicador compartilhado com H-SECTOR-LEGAL-001; não duplicar seu peso na síntese."
SECTOR-LEGAL-MARITACA,H-SECTOR-LEGAL-001,false,"Integração entre dados jurídicos locais e modelo brasileiro especializado","mechanism","presence_supports","escopo técnico da parceria, dados, avaliações independentes, implantação e resultados","legaltechs com modelos globais ou especializados","2024-2026","jusbrasil-maritaca-partnership","proposed","A existência da parceria sustenta o mecanismo, mas não comprova desempenho ou vantagem."
CONV-EPOCH-MODELS,H-CONV-001,true,"Modelos notáveis, de larga escala ou de fronteira associados ao país","output","higher_challenges_constraint","contagem por organização, país e categoria; apresentar valores absolutos","fronteira tecnológica, América Latina e pares com cobertura","a definir","epoch2026models","proposed","Sede da organização, local de treinamento e captura de valor devem permanecer separados."
BASE-2025-NOTABLE-MODELS,H-BASE-001,true,"Modelos notáveis por país em 2025","output","higher_supports","contagem absoluta e per capita","a definir","2025","epoch2026models","approved","Indicador contemporâneo com a mesma taxonomia do Epoch usada pelo HAI."
BASE-2025-MODEL-MIX,H-BASE-001,true,"Concentração academia-indústria na produção de modelos em 2025","conversion","mixed","apresentar contagens e proporções antes de qualquer resumo","a definir","2025","epoch2026models","approved","O sentido não é monotônico: concentração industrial pode indicar conversão, mas não constitui vantagem por si só."
BASE-2025-PRIVATE-INVESTMENT,H-BASE-001,true,"Investimento privado em IA em 2025","input","higher_supports","USD nominal absoluto, per capita e relativo ao PIB","a definir","2025","stanford2026publicdata","approved","Usar o agregado nacional publicado pelo AI Index 2026."
BASE-2025-FUNDED-COMPANIES,H-BASE-001,true,"Empresas de IA financiadas pela primeira vez em 2025","conversion","higher_supports","contagem absoluta, per capita e relativa ao investimento","a definir","2025","stanford2026publicdata","approved","Usar a definição e o agregado publicados pelo AI Index 2026."
BASE-2025-2026-SUPERCOMPUTERS,H-BASE-001,true,"Sistemas TOP500 por país","input","higher_supports","contagem por snapshot, absoluta e per capita","a definir","2025-2026 snapshot","top500_2025_2026","approved","Preservar junho e novembro de 2025; usar junho para 2026."
BASE-2025-2026-RMAX,H-BASE-001,true,"Capacidade Rmax dos sistemas TOP500 por país","input","higher_supports","soma de Rmax por snapshot, absoluta e per capita","a definir","2025-2026 snapshot","top500_2025_2026","approved","HPC listado não equivale automaticamente a compute acessível para IA."
BASE-2025-2026-AI-CONF-COUNTRY,H-BASE-001,true,"Trabalhos aceitos em conferências selecionadas de IA por país","output","higher_supports","contagem completa principal e contagem fracionária como sensibilidade; absoluta e per capita","a definir","2025-2026 YTD","openalex_2025_2026","approved","Venues identificados por IDs persistentes; um trabalho multinacional conta para cada país na análise principal."
BASE-2025-2026-AI-CONF-ORG,H-BASE-001,true,"Presença de organizações em conferências selecionadas de IA","output","higher_supports","trabalhos únicos por organização e tipo institucional","a definir","2025-2026 YTD","openalex_2025_2026","approved","Separar empresas, universidades, governo e organizações sem fins lucrativos."
BASE-2025-2026-RAI-PAPERS,H-BASE-001,false,"Trabalhos aceitos ou publicados sobre Responsible AI","output","higher_supports","contagem por país, organização e tipo institucional; absoluta e per capita","a definir","2025-2026 YTD","openalex_2025_2026","deferred_validation_failed","Extensão adiada: o classificador local falhou o gate cego pós-freeze (60,0% de precisão; 65,5% de recall). Não usar no baseline inicial."
